repository_owner,repository_name,file_path,filename,original_file_path,repository_url,file_url,branch,stargazers_count,forks_count,created_at,pushed_at,updated_at,lines_of_agents,manifest_specific_commit_count,first_manifest_commit_date,comparable_path,source_dataset,lines_of_claude,lines_of_copilot-instructions,ID,total_repo_commits_after_manifest_initialization,Note,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Label10,Label11,Label12,Label13,Label14,Label15,ID,Note,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Label8,Label9,Label10,Label11,Label12,Label13,Label14,Label15
sapientpants,sonarqube-mcp-server,CLAUDE.md,CLAUDE.md,raw/sapientpants/sonarqube-mcp-server/CLAUDE.md,https://github.com/sapientpants/sonarqube-mcp-server,https://github.com/sapientpants/sonarqube-mcp-server/blob/main/CLAUDE.md,main,97.0,16.0,2025-03-20T12:02:36Z,2025-10-17T05:32:47Z,2025-10-17T05:32:49Z,,10,2025-05-12T19:34:56Z,sapientpants/sonarqube-mcp-server/CLAUDE.md,claude,229.0,,41,116,,System Overview,Claude/AI Integration,Implementation Details,Architecture,Configuration & Environment,Performance,,,,,,,,,,41,,System Overview,Claude/AI Integration,Implementation Details,Architecture,Configuration & Environment,Performance,,,,,,,,,
slick,slick,CLAUDE.md,CLAUDE.md,raw/slick/slick/CLAUDE.md,https://github.com/slick/slick,https://github.com/slick/slick/blob/main/CLAUDE.md,main,2667.0,618.0,2009-02-20T22:51:53Z,2025-10-15T20:58:43Z,2025-10-15T20:58:44Z,,6,2025-07-09T01:44:38Z,slick/slick/CLAUDE.md,claude,537.0,,61,102,,System Overview,Build  & Run,Test,Architecture,Configuration & Environment,Implementation Details,Debugging,Claude/AI Integration,Development Process,,,,,,,61,,System Overview,Build  & Run,Test,Architecture,Configuration & Environment,Implementation Details,Debugging,Claude/AI Integration,Development Process,,,,,,
lbds137,tzurot,CLAUDE.md,CLAUDE.md,raw/lbds137/tzurot/CLAUDE.md,https://github.com/lbds137/tzurot,https://github.com/lbds137/tzurot/blob/main/CLAUDE.md,main,6.0,1.0,2025-05-17T20:38:13Z,2025-10-08T23:28:59Z,2025-09-09T01:40:14Z,,54,2025-05-18T11:23:16Z,lbds137/tzurot/CLAUDE.md,claude,420.0,,91,791,,Implementation Details,Architecture,Debugging,Development Process,Security,Performance,Test,,,,,,,,,91,,Implementation Details,Architecture,Debugging,Development Process,Security,Performance,Test,,,,,,,,
tphakala,birdnet-go,CLAUDE.md,CLAUDE.md,raw/tphakala/birdnet-go/CLAUDE.md,https://github.com/tphakala/birdnet-go,https://github.com/tphakala/birdnet-go/blob/main/CLAUDE.md,main,615.0,45.0,2023-10-20T15:51:19Z,2025-10-18T15:04:46Z,2025-10-18T17:36:00Z,,40,2025-06-24T21:29:00Z,tphakala/birdnet-go/CLAUDE.md,claude,93.0,,124,444,,Documentation & References,Architecture,Implementation Details,Test,,,,,,,,,,,,124,,Documentation & References,Architecture,Implementation Details,Test,,,,,,,,,,,
amittell,firewalla-mcp-server,CLAUDE.md,CLAUDE.md,raw/amittell/firewalla-mcp-server/CLAUDE.md,https://github.com/amittell/firewalla-mcp-server,https://github.com/amittell/firewalla-mcp-server/blob/main/CLAUDE.md,main,8.0,2.0,2025-06-22T03:48:10Z,2025-07-27T23:27:59Z,2025-10-02T19:11:48Z,,18,2025-06-21T21:08:13Z,amittell/firewalla-mcp-server/CLAUDE.md,claude,371.0,,39,179,,Documentation & References,Claude/AI Integration,System Overview,Architecture,Build  & Run,Configuration & Environment,Test,Implementation Details,Debugging,Development Process,Performance,Project Management,,,,39,,Documentation & References,Claude/AI Integration,System Overview,Architecture,Build  & Run,Configuration & Environment,Test,Implementation Details,Debugging,Development Process,Performance,Project Management,,,
meilisearch,meilisearch-mcp,CLAUDE.md,CLAUDE.md,raw/meilisearch/meilisearch-mcp/CLAUDE.md,https://github.com/meilisearch/meilisearch-mcp,https://github.com/meilisearch/meilisearch-mcp/blob/main/CLAUDE.md,main,148.0,19.0,2024-12-23T14:53:05Z,2025-08-28T10:32:18Z,2025-10-18T16:53:54Z,,4,2025-06-05T17:51:09Z,meilisearch/meilisearch-mcp/CLAUDE.md,claude,296.0,,75,53,,Development Process,Test,System Overview,Build  & Run,Configuration & Environment,Architecture,,,,,,,,,,75,,Development Process,Test,System Overview,Build  & Run,Configuration & Environment,Architecture,,,,,,,,,
spylang,spy,CLAUDE.md,CLAUDE.md,raw/spylang/spy/CLAUDE.md,https://github.com/spylang/spy,https://github.com/spylang/spy/blob/main/CLAUDE.md,main,515.0,28.0,2023-05-19T14:23:12Z,2025-10-15T12:43:20Z,2025-10-18T16:16:34Z,,3,2025-03-04T18:19:36Z,spylang/spy/CLAUDE.md,claude,38.0,,110,595,,Claude/AI Integration,Build  & Run,Test,Implementation Details,Development Process,,,,,,,,,,,110,,Claude/AI Integration,Build  & Run,Test,Implementation Details,Development Process,,,,,,,,,,
masc-ucsc,hagent,CLAUDE.md,CLAUDE.md,raw/masc-ucsc/hagent/CLAUDE.md,https://github.com/masc-ucsc/hagent,https://github.com/masc-ucsc/hagent/blob/main/CLAUDE.md,main,13.0,7.0,2024-11-28T01:13:51Z,2025-10-18T17:13:38Z,2025-10-18T17:13:41Z,,6,2025-07-14T02:22:51Z,masc-ucsc/hagent/CLAUDE.md,claude,53.0,,146,163,,Test,Build  & Run,Configuration & Environment,Architecture,Implementation Details,,,,,,,,,,,146,,Test,Build  & Run,Configuration & Environment,Architecture,Implementation Details,,,,,,,,,,
ComposioHQ,composio,CLAUDE.md,CLAUDE.md,raw/ComposioHQ/composio/CLAUDE.md,https://github.com/ComposioHQ/composio,https://github.com/ComposioHQ/composio/blob/master/CLAUDE.md,master,25800.0,4361.0,2024-02-23T13:58:27Z,2025-10-17T12:35:55Z,2025-10-18T13:49:45Z,,3,2025-06-26T08:21:02Z,ComposioHQ/composio/CLAUDE.md,claude,,,45,262,,System Overview,Documentation & References,Build  & Run,Test,Architecture,Development Process,Configuration & Environment,Implementation Details,Maintanability,,,,,,,45,,System Overview,Documentation & References,Build  & Run,Test,Architecture,Development Process,Configuration & Environment,Implementation Details,Maintanability,,,,,,
gensx-inc,gensx,CLAUDE.md,CLAUDE.md,raw/gensx-inc/gensx/CLAUDE.md,https://github.com/gensx-inc/gensx,https://github.com/gensx-inc/gensx/blob/main/CLAUDE.md,main,525.0,25.0,2024-12-07T01:08:18Z,2025-09-22T12:07:31Z,2025-10-10T06:22:15Z,,3,2025-03-17T20:12:01Z,gensx-inc/gensx/CLAUDE.md,claude,314.0,,142,253,,System Overview,Build  & Run,Test,Configuration & Environment,Architecture,Implementation Details,Development Process,,,,,,,,,142,,System Overview,Build  & Run,Test,Configuration & Environment,Architecture,Implementation Details,Development Process,,,,,,,,
