repository_owner,repository_name,repository_url,original_flesch_score,textstat_score,py_readability_score
Vaiz,nfs3,https://github.com/Vaiz/nfs3,20.31582017990496,51.06677419354838,50.402410554561754
igraph,igraph,https://github.com/igraph/igraph,48.06740704500979,56.743536935794396,56.453732952130764
jacwu,github-materials,https://github.com/jacwu/github-materials,-17.892095286885223,11.16273411371239,15.049956011730245
raffertyuy,github-copilot-prompts,https://github.com/raffertyuy/github-copilot-prompts,29.192667984189768,44.61247311827958,48.90648602484475
CallMeGreg,gh-language,https://github.com/CallMeGreg/gh-language,45.30341604237523,53.70957209457211,54.46103026732459
a16z,halmos,https://github.com/a16z/halmos,41.59616099071207,43.488834498834535,40.24700772200774
tecnomanu,agent-rules-kit,https://github.com/tecnomanu/agent-rules-kit,26.457126225490214,42.36744167400221,39.511884459995
srbhr,Resume-Matcher,https://github.com/srbhr/Resume-Matcher,-34.17105890733396,29.762254521963825,28.153596899224823
ydb-platform,ydb-embedded-ui,https://github.com/ydb-platform/ydb-embedded-ui,15.318398337595909,45.07817330294182,41.197175556310555
alphaonelabs,alphaonelabs-education-website,https://github.com/alphaonelabs/alphaonelabs-education-website,26.742911532480008,54.87679264183592,53.73113761358201
cesarsotovalero,cesarsotovalero.github.io,https://github.com/cesarsotovalero/cesarsotovalero.github.io,31.55266958779617,41.87096616719779,50.66371504339443
Aiko-IT-Systems,DisCatSharp,https://github.com/Aiko-IT-Systems/DisCatSharp,18.28087111538173,54.47597108969612,53.56481085363441
nyaruka,rapidpro,https://github.com/nyaruka/rapidpro,52.9020677966102,60.08000000000001,
nyaruka,floweditor,https://github.com/nyaruka/floweditor,18.917959070072044,41.30560940613793,43.26701335295101
goplus,llcppg,https://github.com/goplus/llcppg,25.819086120018312,36.46297368421054,47.384869439071565
thrasher-,gocryptotrader,https://github.com/thrasher-/gocryptotrader,-23.359999999999985,39.7434090909091,
stellar,stellar-core,https://github.com/stellar/stellar-core,34.15663461538463,43.449735915492994,
stellar,stellar-cli,https://github.com/stellar/stellar-cli,42.25277768409222,54.936686039416685,54.809920005469735
stellar,rs-soroban-sdk,https://github.com/stellar/rs-soroban-sdk,26.599478149100293,51.93216809520521,48.06254672897197
numbersprotocol,capture-lite,https://github.com/numbersprotocol/capture-lite,-38.020395348837184,19.067608225108245,16.381893939393933
langchain-ai,langchain,https://github.com/langchain-ai/langchain,15.449703822585375,37.11181752527688,37.0100910536205
autumn-library,autumn-library.github.io,https://github.com/autumn-library/autumn-library.github.io,103.12944078947368,52.86500000000001,
autumn-library,autumn,https://github.com/autumn-library/autumn,84.58607142857144,62.47400684931512,
autumn-library,workflows,https://github.com/autumn-library/workflows,19.322235629662146,38.74566363702468,33.109583333333376
autumn-library,autumn-data,https://github.com/autumn-library/autumn-data,84.58607142857144,62.47400684931512,
onnx,onnx,https://github.com/onnx/onnx,75.50000000000003,75.50000000000003,
onnx,ir-py,https://github.com/onnx/ir-py,73.84500000000001,73.84500000000001,
istio,istio,https://github.com/istio/istio,30.09095710740874,46.08762544802869,49.66422778414852
camunda-community-hub,camunda-8-benchmark,https://github.com/camunda-community-hub/camunda-8-benchmark,24.23611969111971,33.349733744394655,33.785492275464804
martincostello,update-dotnet-sdk,https://github.com/martincostello/update-dotnet-sdk,53.099531963470326,54.83359649122812,
philips-software,roslyn-analyzers,https://github.com/philips-software/roslyn-analyzers,7.404341986794748,20.97814900153611,21.877318181818225
tommyxchow,frosty,https://github.com/tommyxchow/frosty,16.693716715976336,44.643782051282045,42.65333746898264
wagtail,sphinx-wagtail-theme,https://github.com/wagtail/sphinx-wagtail-theme,29.766103896103917,33.43750000000003,
triggerdotdev,trigger.dev,https://github.com/triggerdotdev/trigger.dev,58.353815789473714,63.86250000000001,69.72263736263739
elastic,kibana,https://github.com/elastic/kibana,25.03686897334092,42.13953250596984,41.65782630207809
elastic,terraform-provider-elasticstack,https://github.com/elastic/terraform-provider-elasticstack,34.274850543478294,41.17804716285926,45.540363456468526
Agoric,agoric-sdk,https://github.com/Agoric/agoric-sdk,19.156129496402883,53.87722237607312,56.98232311320754
wp-document-revisions,wp-document-revisions,https://github.com/wp-document-revisions/wp-document-revisions,16.066405597062214,37.608112265772064,40.68787104072402
csharpfritz,CopilotThatJawn,https://github.com/csharpfritz/CopilotThatJawn,-4.604857142857128,26.863628001704285,27.312573241801147
nixel2007,extends,https://github.com/nixel2007/extends,83.36790542345713,59.96675824175827,
The-Art-of-Hacking,h4cker,https://github.com/The-Art-of-Hacking/h4cker,7.415889328063258,29.00562359614895,32.18615943674769
Azure,bicep-registry-modules,https://github.com/Azure/bicep-registry-modules,1.2162295081967611,35.93647815952167,29.619361364264023
Azure,azqr,https://github.com/Azure/azqr,22.42802125506074,30.469643877961516,32.38309863407321
Azure,azure-sdk-for-java,https://github.com/Azure/azure-sdk-for-java,6.147731204258179,31.680643863179114,35.75512931034484
Azure,aks-mcp,https://github.com/Azure/aks-mcp,-4.717495344506489,25.572568559463235,22.0864285714286
Azure,azure-service-operator,https://github.com/Azure/azure-service-operator,19.87405214672077,39.22440446693423,40.23804909416239
Azure,AzureLocal-Supportability,https://github.com/Azure/AzureLocal-Supportability,9.683848735157484,28.80885065152023,30.03801653900075
Azure,azure-mcp,https://github.com/Azure/azure-mcp,23.45113636363638,53.442009569378,52.357647058823545
Azure,autorest.go,https://github.com/Azure/autorest.go,15.257857142857176,14.357096774193565,
Azure,azure-sdk-tools,https://github.com/Azure/azure-sdk-tools,3.172142857142888,7.798750000000041,
Azure,azure-sdk-for-rust,https://github.com/Azure/azure-sdk-for-rust,46.28853523742154,54.177483844148014,57.700835484426136
Azure,adx-mon,https://github.com/Azure/adx-mon,7.698556376080688,34.250516084958406,34.13110953035837
Azure,telescope,https://github.com/Azure/telescope,-0.8928571428571104,36.445608974359004,
Azure,fleet-networking,https://github.com/Azure/fleet-networking,43.935354871258966,52.002396934460904,56.986131444428224
Azure,azure-sdk-for-cpp,https://github.com/Azure/azure-sdk-for-cpp,12.680000000000035,38.04718367346939,
Azure,terraform-azurerm-avm-ptn-virtualwan,https://github.com/Azure/terraform-azurerm-avm-ptn-virtualwan,-1.46605882352938,31.992475635163686,23.794803763440882
Azure,autorest.typescript,https://github.com/Azure/autorest.typescript,32.20270858112869,47.56862414005141,52.64786630504648
Azure,terraform-azurerm-avm-res-app-managedenvironment,https://github.com/Azure/terraform-azurerm-avm-res-app-managedenvironment,-1.46605882352938,31.992475635163686,23.794803763440882
Azure,azure-storage-fuse,https://github.com/Azure/azure-storage-fuse,26.55561279698898,38.69169263367817,38.699375
Azure,terraform-azurerm-avm-res-authorization-roleassignment,https://github.com/Azure/terraform-azurerm-avm-res-authorization-roleassignment,-1.46605882352938,31.992475635163686,23.794803763440882
Azure,terraform-azurerm-avm-res-keyvault-vault,https://github.com/Azure/terraform-azurerm-avm-res-keyvault-vault,-1.46605882352938,31.992475635163686,23.794803763440882
Azure,azure-rest-api-specs,https://github.com/Azure/azure-rest-api-specs,39.36439347558516,53.50729978157992,53.3427777777778
Azure,iot-operations-sdks,https://github.com/Azure/iot-operations-sdks,-20.88619918699186,42.733750000000015,
Azure,typespec-azure,https://github.com/Azure/typespec-azure,40.98605072463769,61.66920168067227,62.4007283464567
Azure,dalec,https://github.com/Azure/dalec,33.731836271713775,50.27651111111112,51.258033707865195
Azure,LogicAppsUX,https://github.com/Azure/LogicAppsUX,-17.128181818181787,45.74596418292296,46.06008962264153
Azure,terraform-azurerm-avm-ptn-alz-management,https://github.com/Azure/terraform-azurerm-avm-ptn-alz-management,-1.46605882352938,31.992475635163686,23.794803763440882
Azure,awesome-azd,https://github.com/Azure/awesome-azd,31.07016388305709,41.84164807888473,39.6992690077964
Azure,azure-functions-host,https://github.com/Azure/azure-functions-host,50.96562937062939,55.77967836257312,59.822759562841554
Azure,terraform-azurerm-avm-res-documentdb-databaseaccount,https://github.com/Azure/terraform-azurerm-avm-res-documentdb-databaseaccount,-1.46605882352938,31.992475635163686,23.794803763440882
Azure,PSRule.Rules.Azure,https://github.com/Azure/PSRule.Rules.Azure,54.15283400809719,65.43707654145999,58.11397483849032
Azure,azure-sdk-for-js,https://github.com/Azure/azure-sdk-for-js,3.0211671087533603,41.27611568885962,46.73398536126783
Azure,autorest.python,https://github.com/Azure/autorest.python,25.07153614457832,61.866568965517246,
