repository_owner,repository_name,repository_url,original_flesch_score,textstat_score,py_readability_score
blokadaorg,blokada,https://github.com/blokadaorg/blokada,26.16473973973976,44.32516949152543,40.49591843807764
CSSLab,maia-platform-frontend,https://github.com/CSSLab/maia-platform-frontend,11.297647058823571,35.52728448275863,39.84089588377725
katsuhirohonda,anthropic-sdk-rs,https://github.com/katsuhirohonda/anthropic-sdk-rs,4.493353018372716,31.732707406583643,33.27153521126763
bluzky,prana,https://github.com/bluzky/prana,1.1458087697277506,20.49249366112099,14.963894216797456
evmts,tevm-monorepo,https://github.com/evmts/tevm-monorepo,49.78404900144125,62.670410424662634,63.38809135526765
evmts,guillotine,https://github.com/evmts/guillotine,26.820290630330877,43.33417360140922,35.5316737109045
AgustinOberg,leshi-ui,https://github.com/AgustinOberg/leshi-ui,-0.4663997477931616,29.187374010374043,28.463691927756884
modal-labs,modal-client,https://github.com/modal-labs/modal-client,0.0,,
d-kuro,gwq,https://github.com/d-kuro/gwq,24.36845348837213,56.870257142857184,58.381096256684515
supermemoryai,llm-bridge,https://github.com/supermemoryai/llm-bridge,2.243571428571414,21.24200000000002,15.714130434782618
modular,modular,https://github.com/modular/modular,14.088061340071448,41.64592855395156,40.66810178997301
HeroSizy,cucumberstudio-mcp,https://github.com/HeroSizy/cucumberstudio-mcp,-2.412085590465864,39.573614457831354,41.953372603083125
adeze,raindrop-mcp,https://github.com/adeze/raindrop-mcp,-0.8767044633828789,34.58576933061883,32.48708725550986
python-cachier,cachier,https://github.com/python-cachier/cachier,34.65529739507963,50.03790246683775,49.98617871072193
SmolinskiP,GLaSSIST,https://github.com/SmolinskiP/GLaSSIST,-8.891636302671287,16.359589800443473,12.578796791443864
lunasaw,gb28181-proxy,https://github.com/lunasaw/gb28181-proxy,60.4111923954373,62.1390224149215,63.83670588235293
MaxKorlaar,hypixel-signatures,https://github.com/MaxKorlaar/hypixel-signatures,35.356285177265846,49.11937741905035,51.553421651294514
esphome,esphome,https://github.com/esphome/esphome,-301.78,-48.994999999999976,
ktaka-ccmp,oauth2-passkey,https://github.com/ktaka-ccmp/oauth2-passkey,14.109838557359382,30.381065161290337,26.91002289669862
Southclaws,storyden,https://github.com/Southclaws/storyden,27.482615107913688,41.40820378151261,45.74651113406796
nbonamy,witsy,https://github.com/nbonamy/witsy,46.3340106951872,55.48157002452439,56.60551451996017
BrighterCommand,Brighter,https://github.com/BrighterCommand/Brighter,4.25611888111888,37.23166289958027,22.29086145194276
ensdomains,ens-app-v3,https://github.com/ensdomains/ens-app-v3,1.8975171526586507,46.00142425219707,46.51902597402599
